('norm', 11, 1), ((0.3368678629690049, -0.3716369466883391), 0.39314845024469824, 0.34917450126117866, array([1.37358556]), 0.5886980606735804)
('norm', 9, 10), ((0.3376835236541599, -0.4900044638469725), 0.39804241435562804, 0.30148090904789693, array([1.27304325]), 0.5760934412681942)
('norm', 9, 1), ((0.3384991843393148, -0.5006643204525312), 0.39641109298531807, 0.30148090904789693, array([1.28427279]), 0.5803323228547996)
('norm', 11, 10), ((0.33931484502446985, -0.359027310195823), 0.3898858075040783, 0.34636551249713365, array([1.36210973]), 0.5798240627588418)
('norm', 11, 0.1), ((0.3401305057096248, -0.4468191425295342), 0.3923327895595432, 0.34355652373308876, array([1.46011786]), 0.6167858628988656)
('norm', 10, 1), ((0.3401305057096248, -0.5213549363675212), 0.3874388254486134, 0.32599937094672515, array([1.29412614]), 0.5600861937170852)
('norm', 10, 0.1), ((0.34094616639477976, -0.4442929102635586), 0.39559543230016314, 0.3204127787679542, array([1.37111052]), 0.5717278453502671)
('norm', 9, 0.1), ((0.34176182707993474, -0.4259403953432897), 0.399673735725938, 0.30405160313530055, array([1.36549091]), 0.5958220254287895)
('norm', 10, 10), ((0.34176182707993474, -0.5280115373205455), 0.3898858075040783, 0.32868033609417824, array([1.28512028]), 0.5609661547717981)
('raw', 11, 0.1), ((0.4110929853181077, -0.34028483369477447), 0.46982055464926586, 0.3566332136839792, array([1.47026578]), 0.5823189363053796)
('raw', 11, 1), ((0.5954323001631321, -0.498844514655842), 0.6199021207177814, 0.6691963958684346, array([0.35205662]), 0.27787847014888256)
('raw', 11, 10), ((0.8719412724306688, -2.095507314052834), 0.9143556280587276, 0.9479598564207751, array([0.01115034]), 0.07862091305401571)
