('norm', 11, 1), ((0.3368678629690049, -0.3716369466883391), 0.39314845024469824)
('norm', 9, 10), ((0.3376835236541599, -0.4900044638469725), 0.39804241435562804)
('norm', 9, 1), ((0.3384991843393148, -0.5006643204525312), 0.39641109298531807)
('norm', 11, 10), ((0.33931484502446985, -0.359027310195823), 0.3898858075040783)
('norm', 11, 0.1), ((0.3401305057096248, -0.4468191425295342), 0.3923327895595432)
('norm', 10, 1), ((0.3401305057096248, -0.5213549363675212), 0.3874388254486134)
('norm', 10, 0.1), ((0.34094616639477976, -0.4442929102635586), 0.39559543230016314)
('norm', 9, 0.1), ((0.34176182707993474, -0.4259403953432897), 0.399673735725938)
('norm', 10, 10), ((0.34176182707993474, -0.5280115373205455), 0.3898858075040783)
('raw', 11, 0.1), ((0.4110929853181077, -0.34028483369477447), 0.46982055464926586)
('raw', 11, 1), ((0.5954323001631321, -0.498844514655842), 0.6199021207177814)
('raw', 11, 10), ((0.8719412724306688, -2.095507314052834), 0.9143556280587276)
