('norm', 11, 'diag', 3), ((0.33197389885807504, 0.05992475282698706), 0.3360522022838499, 0.34232480117423275)
('raw', 9, 'tied_diag', 3), ((0.33442088091353994, -0.20697702706318566), 0.3474714518760196, 0.41615681615681616)
('norm', 11, 'tied_diag', 3), ((0.3376835236541599, -0.06694307151264312), 0.3466557911908646, 0.3586956521739131)
('raw', 9, 'diag', 3), ((0.3376835236541599, -0.7459524437207765), 0.34094616639477976, 0.4087003545033948)
('raw', 11, 'diag', 4), ((0.34420880913539964, -0.5913580285123885), 0.367047308319739, 0.3324003731840597)
('raw', 10, 'diag', 3), ((0.3450244698205547, -0.642098502340879), 0.3572593800978793, 0.4184455391351943)
('raw', 10, 'diag', 4), ((0.35399673735725934, -0.38434811144211345), 0.3637846655791191, 0.3649881408502098)
('norm', 11, 'diag', 2), ((0.3539967373572594, 0.4376135973887507), 0.35889070146818924, 0.3581859301750865)
('raw', 11, 'diag', 3), ((0.3621533442088092, -0.9510051966352719), 0.37846655791190864, 0.35177040294993117)
('norm', 11, 'tied_diag', 2), ((0.36378466557911904, 1.2774668398152258), 0.40538336052202284, 0.3641304347826087)
('raw', 10, 'tied_diag', 0), ((0.3727569331158238, 0.21666988788677166), 0.38662316476345837, 0.4482081775802098)
('raw', 11, 'tied_diag', 1), ((0.37846655791190864, 0.19659094529198917), 0.38825448613376834, 0.4718500270383945)
('raw', 9, 'tied_diag', 0), ((0.3792822185970636, 0.18552587645964635), 0.3874388254486134, 0.5201069201069202)
('raw', 10, 'diag', 0), ((0.3817292006525286, 0.20773250114580577), 0.3907014681892333, 0.44134282065316544)
('raw', 11, 'tied_diag', 0), ((0.3817292006525286, 0.1710413761792502), 0.38662316476345837, 0.47130925914799016)
('raw', 9, 'diag', 0), ((0.3817292006525286, 0.13772850571179696), 0.38743882544861336, 0.46460974583909154)
('raw', 11, 'diag', 0), ((0.3841761827079935, 0.1269454706302504), 0.3898858075040783, 0.4633257807987916)
('raw', 11, 'tied_diag', 2), ((0.3841761827079935, -0.20362898245838057), 0.3898858075040783, 0.43333533617737185)
('raw', 9, 'tied_diag', 2), ((0.38499184339314846, 0.01730091205240214), 0.3915171288743883, 0.4408375408375409)
('norm', 11, 'tied_diag', 1), ((0.38580750407830344, 0.23931017988372538), 0.40375203915171287, 0.4809782608695652)
('raw', 10, 'tied_diag', 2), ((0.3907014681892333, -0.19633429661761959), 0.41517128874388254, 0.4752839638027336)
('raw', 10, 'diag', 2), ((0.3915171288743883, -0.5317550154688231), 0.39559543230016314, 0.4254698047801496)
('raw', 10, 'tied_diag', 1), ((0.3939641109298532, 0.03334550113738466), 0.400489396411093, 0.42352822318761096)
('norm', 11, 'diag', 0), ((0.3964110929853181, 0.6643713656219425), 0.41761827079934744, 0.36489583177318136)
('raw', 11, 'diag', 1), ((0.3972267536704731, 0.008176118857384118), 0.40048939641109293, 0.4442667377493447)
('raw', 9, 'tied_diag', 1), ((0.3972267536704731, 0.29442608622535893), 0.40293637846655794, 0.47929907929907933)
('raw', 10, 'diag', 1), ((0.401305057096248, -0.25477337913561193), 0.41517128874388254, 0.3949096880131363)
('raw', 9, 'diag', 2), ((0.4021207177814029, 0.3228671231992486), 0.4086460032626427, 0.49912876284323743)
('norm', 11, 'tied_diag', 0), ((0.4029363784665579, 0.6001740564426132), 0.4200652528548124, 0.4320652173913043)
('raw', 9, 'diag', 1), ((0.40375203915171287, 0.23795733387685303), 0.4070146818923328, 0.48173406236856336)
('raw', 11, 'diag', 2), ((0.4070146818923328, -0.0867455785961404), 0.41353996737357257, 0.4553289795193034)
('norm', 11, 'diag', 1), ((0.4200652528548124, 0.659629582751549), 0.44045676998368677, 0.4203124297931613)
