('raw', 11, 'full', 4), ((0.2569331158238173, -0.09985079274315645), 0.266721044045677, 0.3695652173913044)
('norm', 11, 'full', 4), ((0.2732463295269168, -0.6870365185457654), 0.2936378466557912, 0.286991386991387)
('raw', 9, 'full', 4), ((0.28792822185970635, 0.3189911393191487), 0.29526916802610115, 0.2881192881192881)
('raw', 10, 'full', 3), ((0.28874388254486133, -0.32604270081237274), 0.2969004893964111, 0.3302707930367505)
('norm', 11, 'full', 3), ((0.2903752039151713, -0.18100838742360104), 0.29200652528548127, 0.29536679536679533)
('raw', 9, 'full', 3), ((0.2903752039151713, 0.41781314307245054), 0.30587275693311583, 0.3361756089028816)
('norm', 11, 'tied_full', 4), ((0.29282218597063625, 0.2959718231771653), 0.300978792822186, 0.3522243273967412)
('norm', 11, 'full', 1), ((0.29526916802610115, 0.15013145282266116), 0.31484502446982054, 0.2923076923076923)
('raw', 9, 'full', 2), ((0.2960848287112561, 0.17570741010720603), 0.30261011419249595, 0.3577769032314487)
('raw', 11, 'full', 1), ((0.300163132137031, -0.43416847617144505), 0.3262642740619902, 0.44021739130434784)
('raw', 10, 'full', 1), ((0.300978792822186, -0.1256093260385196), 0.3181076672104405, 0.378747582205029)
('raw', 11, 'tied_full', 3), ((0.30261011419249595, 0.09144750628326648), 0.3066884176182708, 0.32434480049385483)
('raw', 11, 'tied_full', 4), ((0.30261011419249595, -0.01899515112913086), 0.3034257748776509, 0.3332398002132555)
('raw', 9, 'full', 1), ((0.30505709624796085, -0.19925934931332634), 0.31484502446982054, 0.3734312825221916)
('norm', 11, 'tied_full', 0), ((0.30587275693311583, 0.903349850500776), 0.36133768352365414, 0.4040621447517999)
('norm', 11, 'tied_full', 1), ((0.30587275693311583, 0.9033904757296511), 0.36133768352365414, 0.4040621447517999)
('raw', 10, 'tied_full', 3), ((0.3066884176182708, 0.5240526324307053), 0.33197389885807504, 0.32062119991209437)
('raw', 9, 'full', 0), ((0.3091353996737357, 0.28241580584688464), 0.3230016313213703, 0.4343871616598889)
('norm', 11, 'full', 0), ((0.3099510603588907, 1.0941581088897578), 0.3629690048939641, 0.3475200475200475)
('norm', 11, 'tied_diag', 4), ((0.3099510603588907, 0.32947646228506233), 0.31566068515497553, 0.33423913043478265)
('raw', 10, 'full', 4), ((0.3099510603588907, -0.641336476927826), 0.3172920065252855, 0.3272485493230174)
('norm', 11, 'tied_full', 2), ((0.3107667210440457, 1.1651521339309046), 0.3523654159869494, 0.3442667677150436)
('raw', 10, 'tied_full', 0), ((0.3107667210440457, 0.07777147222608605), 0.3172920065252855, 0.3573950626327742)
('raw', 10, 'tied_full', 1), ((0.3107667210440457, 0.07779782921191725), 0.3172920065252855, 0.3573950626327742)
('raw', 11, 'tied_full', 0), ((0.3107667210440457, 0.17086675384859618), 0.32218597063621535, 0.42432235254503614)
('raw', 11, 'tied_full', 1), ((0.3107667210440457, 0.17086484123263546), 0.32218597063621535, 0.42432235254503614)
('norm', 11, 'full', 2), ((0.3115823817292006, -0.5692185626017725), 0.3205546492659054, 0.2760914760914761)
('raw', 9, 'tied_full', 0), ((0.3115823817292006, 0.2768110602324416), 0.3254486133768353, 0.41272949816401466)
('raw', 9, 'tied_full', 1), ((0.3115823817292006, 0.27681366278611463), 0.3254486133768353, 0.41272949816401466)
('raw', 10, 'full', 2), ((0.31158238172920066, 0.07352475740779862), 0.3172920065252855, 0.33329303675048355)
('raw', 11, 'full', 0), ((0.31239804241435565, 0.1987889056088985), 0.3278955954323002, 0.4701086956521739)
('raw', 11, 'full', 2), ((0.31239804241435565, 0.06347849359889324), 0.3189233278955954, 0.4157608695652174)
('raw', 10, 'full', 0), ((0.3132137030995106, 0.18242625075410324), 0.32300163132137033, 0.4609526112185687)
('raw', 10, 'tied_full', 2), ((0.3132137030995106, 0.25283247269359244), 0.335236541598695, 0.34240714965936564)
('raw', 9, 'tied_full', 3), ((0.3132137030995106, -0.04639516189510218), 0.3164763458401305, 0.34834761321909424)
('raw', 9, 'tied_full', 4), ((0.3132137030995106, -0.3695060296641195), 0.32707993474714514, 0.3430844553243574)
('raw', 11, 'full', 3), ((0.3140293637846656, 0.4863552955721051), 0.3230016313213703, 0.3695652173913044)
('raw', 10, 'tied_diag', 4), ((0.31566068515497553, 0.24482798920254112), 0.33197389885807504, 0.38246712947594785)
('raw', 10, 'tied_full', 4), ((0.3164763458401305, -0.29310686457688284), 0.3238172920065253, 0.30391912680389715)
('norm', 11, 'diag', 4), ((0.3189233278955954, 0.13253598854467263), 0.3230016313213703, 0.34500576632168584)
('norm', 11, 'tied_full', 3), ((0.32137030995106036, 0.622666074555057), 0.3352365415986949, 0.3442667677150436)
('raw', 11, 'tied_full', 2), ((0.32137030995106036, 0.11912327046659321), 0.33197389885807504, 0.3360177338795668)
('raw', 9, 'tied_full', 2), ((0.32463295269168024, 0.005228316698495661), 0.3254486133768352, 0.3440636474908201)
('raw', 11, 'tied_diag', 4), ((0.3254486133768352, 0.5033175819034206), 0.33278955954323003, 0.365649221895091)
('raw', 9, 'tied_diag', 4), ((0.3278955954323002, 0.48099783397771567), 0.33931484502446985, 0.3831897831897832)
('raw', 10, 'tied_diag', 3), ((0.3303425774877651, -0.34367456184598133), 0.33442088091353994, 0.38369391083464427)
('raw', 11, 'tied_diag', 3), ((0.3303425774877651, -0.19320517855219954), 0.3376835236541599, 0.33810010214504593)
('raw', 9, 'diag', 4), ((0.33115823817292006, -0.8594483207421266), 0.3482871125611745, 0.3854473352160067)
