('norm', 9), ((0.335236541598695, -0.4091644318655383), 0.39477977161500816)
('norm', 11), ((0.3368678629690049, -0.4522645986110657), 0.38662316476345837)
('norm', 'no pca'), ((0.3376835236541599, -0.43680803375544), 1.030179445350734)
('norm', 10), ((0.33931484502446985, -0.4148033789674084), 0.3890701468189233)
('norm', 6), ((0.36867862969004894, -0.11644118315336704), 0.3866231647634584)
('norm', 8), ((0.3727569331158238, -0.25358869261072325), 0.41272430668841764)
('norm', 7), ((0.3743882544861338, -0.35340060680501745), 0.41027732463295274)
('norm', 5), ((0.38091353996737354, -0.2777000422396236), 0.39477977161500816)
('raw', 'no pca'), ((0.39559543230016314, -0.4326904550608759), 1.0220228384991843)
('raw', 11), ((0.4070146818923328, -0.5580267322124155), 0.47879282218597063)
('raw', 8), ((0.4282218597063621, -0.3146531102702994), 0.48205546492659057)
('raw', 7), ((0.4453507340946166, -0.5477101370336281), 0.5187601957585644)
('raw', 10), ((0.44942903752039154, -0.5312159996131797), 0.500815660685155)
('raw', 6), ((0.45269168026101136, -0.507883358904025), 0.499184339314845)
('raw', 9), ((0.466557911908646, -0.3293018315788302), 0.5154975530179445)
('raw', 5), ((0.5244698205546492, -0.3867055582305283), 0.5611745513866232)
