('raw', 10), ((0.2920065252854812, -0.07450769950378877), 0.2969004893964111)
('raw', 9), ((0.29771615008156604, -0.06766513483758096), 0.300978792822186)
('raw', 'no pca'), ((0.29853181076672103, 0.3684970080610759), 0.9869494290375205)
('norm', 'no pca'), ((0.3017944535073409, -0.5416873786313294), 0.999184339314845)
('norm', 10), ((0.3140293637846656, -0.08434535160066403), 0.31566068515497553)
('raw', 8), ((0.31566068515497553, 0.6782882117372093), 0.33197389885807504)
('norm', 6), ((0.3181076672104405, -0.16434027634201076), 0.3230016313213703)
('norm', 5), ((0.3213703099510603, 0.24453585140198264), 0.33278955954323003)
('raw', 7), ((0.3270799347471452, -0.47244831948836463), 0.3352365415986949)
('norm', 7), ((0.3303425774877651, 0.16166495989298912), 0.33931484502446985)
('norm', 8), ((0.33115823817292006, 0.5184306858719836), 0.34094616639477976)
('norm', 9), ((0.33115823817292006, -0.6141560353189526), 0.335236541598695)
('raw', 6), ((0.3368678629690049, 0.2641398894854312), 0.34910277324632955)
('raw', 5), ((0.367862969004894, -0.1963442203321044), 0.38825448613376834)
