('norm', 'no pca'), ((0.464926590538336, -0.44814991851682756), 1.0163132137030995)
('norm', 10), ((0.4771615008156607, -0.6037644125288517), 0.5579119086460033)
('norm', 7), ((0.5163132137030995, -0.5359343080341894), 0.6125611745513867)
('norm', 9), ((0.5187601957585644, -0.5916858756180876), 0.5709624796084829)
('norm', 5), ((0.5383360522022839, -0.6479231302441281), 0.6647634584013051)
('norm', 8), ((0.5424143556280587, -0.7076824552562182), 0.5840130505709624)
('norm', 6), ((0.5448613376835236, -0.47611761770910865), 0.6288743882544862)
('raw', 5), ((0.8580750407830342, 1.2842193860560656), 0.8964110929853181)
('raw', 'no pca'), ((0.9004893964110929, -81.56905234579062), 1.0489396411092986)
('raw', 7), ((0.9094616639477977, -6.034403671103064), 0.9225122349102773)
('raw', 10), ((0.9110929853181077, -123.49125652969815), 0.9787928221859705)
('raw', 8), ((0.932300163132137, -212.21931279357523), 0.9608482871125611)
('raw', 6), ((0.9526916802610114, -192.88072433427442), 1.030995106035889)
('raw', 9), ((0.9559543230016313, -111.21902188658714), 0.9779771615008157)
