('norm', 9, (1, 1, 0)), ((0.5154975530179445, -0.572139127272405), 0.5709624796084829, 0.5873481110538331)
('norm', 9, (1, 10, 0)), ((0.5154975530179445, -0.5505331988289139), 0.5717781402936378, 0.5873481110538331)
('norm', 9, (0, 10, 0)), ((0.5171288743882545, -0.17475108625725255), 0.5424143556280587, 0.5360630385153546)
('raw', 'no pca', (0, 0.1, 0)), ((0.8792822185970637, -11.056853178225083), 0.9494290375203915, 1.0)
('raw', 'no pca', (0, 0.1, 1)), ((0.8907014681892332, -70.3322551548481), 0.9486133768352365, 1.0)
('raw', 'no pca', (0, 1, 1)), ((0.8931484502446982, -75.98775105469451), 0.9208809135399674, 1.0)
('raw', 'no pca', (1, 0.1, 0)), ((0.8964110929853182, -54.9999734594021), 0.9755301794453508, 1.0)
('raw', 'no pca', (1, 10, 1)), ((0.899673735725938, -0.0699973905111051), 0.9053833605220228, 1.0)
('raw', 'no pca', (1, 0.1, 1)), ((0.9004893964110929, -59.466203437244985), 0.9624796084828711, 1.0)
('raw', 'no pca', (1, 10, 0)), ((0.901305057096248, -5.309074766992126), 0.9355628058727569, 1.0)
('raw', 'no pca', (1, 1, 1)), ((0.9045676998368679, -141.97403223056233), 0.9502446982055465, 1.0)
('raw', 'no pca', (0, 1, 0)), ((0.9061990212071778, -142.22647833160931), 0.9681892332789559, 1.0)
('raw', 'no pca', (0, 10, 1)), ((0.9135399673735726, -108.39783510780475), 0.9779771615008156, 1.0)
('raw', 'no pca', (1, 1, 0)), ((0.9159869494290375, -118.65742752572349), 0.9461663947797716, 1.0)
('raw', 'no pca', (0, 10, 0)), ((0.9233278955954323, -53.415528561827045), 0.9608482871125612, 1.0)
