MVG
('raw', 11), ((0.3083197389885808, 1.1157672815760704), 0.3597063621533442)
('norm', 11), ((0.3115823817292006, 1.0921692394756697), 0.3621533442088092)
('raw', 9), ((0.3164763458401305, 0.42050259957894554), 0.3262642740619902)
('raw', 10), ((0.32137030995106036, 0.6746428274974647), 0.37520391517128876)
('norm', 10), ((0.32463295269168024, 0.84614323629647), 0.3703099510603589)
('norm', 9), ((0.3254486133768352, 0.7498742555942055), 0.36133768352365414)
('raw', 7), ((0.3360522022838499, -0.17464718369736865), 0.34420880913539964)
('raw', 8), ((0.3368678629690049, -0.005240171010386874), 0.3368678629690049)
('norm', 7), ((0.34910277324632955, 0.25962597863410863), 0.3727569331158238)
('norm', 8), ((0.35154975530179444, 0.26399480986310664), 0.3703099510603589)
('raw', 6), ((0.38499184339314846, 0.19228187513379602), 0.3907014681892333)
('norm', 6), ((0.38499184339314846, 0.8642573024589701), 0.39070146818923324)
('raw', 5), ((0.39477977161500816, -0.24990941708490233), 0.40538336052202284)
('norm', 5), ((0.39641109298531807, 0.8819454007950354), 0.44290375203915167)
('norm', 4), ((0.42088091353996737, 0.4186061457736656), 0.47634584013050574)
('norm', 3), ((0.4926590538336052, 0.13174050144436578), 0.499184339314845)
('norm', 2), ((0.5742251223491027, 0.6372419005423255), 0.6305057096247961)
('raw', 4), ((0.5864600326264274, 0.3949106522254837), 0.6451876019575856)
('raw', 3), ((0.7275693311582382, 0.2845319488150331), 0.7601957585644372)
('raw', 2), ((0.7398042414355628, 0.16652295841907083), 0.768352365415987)
('norm', 1), ((0.7805872756933115, 0.1671848117960577), 0.835236541598695)
('raw', 1), ((0.8213703099510603, -0.17258213665770672), 0.8319738988580749)

Naive Bayes
('raw', 9), ((0.3833605220228385, 0.15144847397511552), 0.3931484502446982)
('norm', 9), ((0.38499184339314846, 0.6005572298319579), 0.4094616639477977)
('raw', 11), ((0.38743882544861336, 0.551499104938981), 0.42251223491027734)
('raw', 8), ((0.3890701468189233, -0.050091003440744686), 0.3972267536704731)
('norm', 11), ((0.3915171288743883, 0.42360417951775453), 0.4102773246329527)
('raw', 10), ((0.3923327895595432, 0.45226735407033125), 0.4274061990212072)
('norm', 10), ((0.3931484502446982, 0.2924852573252572), 0.40783034257748774)
('raw', 7), ((0.3972267536704731, -0.12744030410035545), 0.400489396411093)
('norm', 7), ((0.40456769983686786, 0.2743495953839953), 0.44045676998368677)
('norm', 8), ((0.4061990212071778, 0.44641519885548675), 0.44045676998368677)
('raw', 6), ((0.41353996737357257, -0.0014142308681037719), 0.41353996737357257)
('raw', 5), ((0.41435562805872755, -0.17238038890168295), 0.4290375203915171)
('norm', 6), ((0.42495921696574224, 0.3541851273882096), 0.44290375203915167)
('norm', 5), ((0.43964110929853184, 0.5125479511333788), 0.45024469820554647)
('norm', 4), ((0.4730831973898858, 0.23945299937940046), 0.48858075040783033)
('norm', 3), ((0.5309951060358891, -0.08670363495405209), 0.533442088091354)
('norm', 2), ((0.5799347471451876, 0.5311771192981015), 0.6288743882544862)
('raw', 4), ((0.5856443719412724, 0.293724207938723), 0.6606851549755302)
('raw', 2), ((0.7487765089722676, 0.1744764537510387), 0.800978792822186)
('raw', 3), ((0.7512234910277324, 0.2058741753152179), 0.7911908646003262)
('norm', 1), ((0.7773246329526917, 0.14883772071707346), 0.8238172920065252)
('raw', 1), ((0.8066884176182707, -0.18958804603068125), 0.8254486133768353)

Tied Covariance
('norm', 9), ((0.333605220228385, -0.26997929214647143), 0.34094616639477976)
('norm', 10), ((0.33442088091353994, -0.23790057778033358), 0.33931484502446985)
('raw', 11), ((0.335236541598695, -0.24630714419288946), 0.3409461663947798)
('norm', 11), ((0.3360522022838499, -0.2282803555838412), 0.3466557911908646)
('raw', 9), ((0.3401305057096248, 0.018469512664047727), 0.34176182707993474)
('raw', 10), ((0.34257748776508967, -0.2623507370831355), 0.3499184339314845)
('raw', 8), ((0.36133768352365414, -0.21307515192634885), 0.3629690048939641)
('norm', 6), ((0.3646003262642741, 0.3603640061226159), 0.3972267536704731)
('raw', 7), ((0.37112561174551384, -0.11689626419266108), 0.3768352365415987)
